アルゴリズム,並び方,データ数,比較回数,交換・代入回数
バブルソート（打ち切りなし）,昇順,10,45,0
バブルソート（打ち切りなし）,昇順,100,4950,0
バブルソート（打ち切りなし）,昇順,1000,499500,0
バブルソート（打ち切りなし）,昇順,10000,49995000,0
バブルソート（打ち切りなし）,降順,10,45,135
バブルソート（打ち切りなし）,降順,100,4950,14850
バブルソート（打ち切りなし）,降順,1000,499500,1498500
バブルソート（打ち切りなし）,降順,10000,49995000,149985000
バブルソート（打ち切りなし）,ランダム,10,45,57
バブルソート（打ち切りなし）,ランダム,100,4950,7720
バブルソート（打ち切りなし）,ランダム,1000,499500,753989
バブルソート（打ち切りなし）,ランダム,10000,49995000,76753323
バブルソート（打ち切りあり）,昇順,10,9,0
バブルソート（打ち切りあり）,昇順,100,99,0
バブルソート（打ち切りあり）,昇順,1000,999,0
バブルソート（打ち切りあり）,昇順,10000,9999,0
バブルソート（打ち切りあり）,降順,10,45,135
バブルソート（打ち切りあり）,降順,100,4950,14850
バブルソート（打ち切りあり）,降順,1000,499500,1498500
バブルソート（打ち切りあり）,降順,10000,49995000,149985000
バブルソート（打ち切りあり）,ランダム,10,42,57
バブルソート（打ち切りあり）,ランダム,100,4871,7720
バブルソート（打ち切りあり）,ランダム,1000,498720,753989
バブルソート（打ち切りあり）,ランダム,10000,49994162,76753323
選択ソート,昇順,10,54,27
選択ソート,昇順,100,5049,297
選択ソート,昇順,1000,500499,2997
選択ソート,昇順,10000,50004999,29997
選択ソート,降順,10,54,27
選択ソート,降順,100,5049,297
選択ソート,降順,1000,500499,2997
選択ソート,降順,10000,50004999,29997
選択ソート,ランダム,10,54,27
選択ソート,ランダム,100,5049,297
選択ソート,ランダム,1000,500499,2997
選択ソート,ランダム,10000,50004999,29997
挿入ソート,昇順,10,9,9
挿入ソート,昇順,100,99,99
挿入ソート,昇順,1000,999,999
挿入ソート,昇順,10000,9999,9999
挿入ソート,降順,10,45,54
挿入ソート,降順,100,4950,5049
挿入ソート,降順,1000,499500,500499
挿入ソート,降順,10000,49995000,50004999
挿入ソート,ランダム,10,26,28
挿入ソート,ランダム,100,2669,2672
挿入ソート,ランダム,1000,252323,252328
挿入ソート,ランダム,10000,25594431,25594440
マージソート,昇順,10,19,68
マージソート,昇順,100,356,1344
マージソート,昇順,1000,5044,19952
マージソート,昇順,10000,69008,267232
マージソート,降順,10,15,68
マージソート,降順,100,316,1344
マージソート,降順,1000,4932,19952
マージソート,降順,10000,64608,267232
マージソート,ランダム,10,23,68
マージソート,ランダム,100,543,1344
マージソート,ランダム,1000,8703,19952
マージソート,ランダム,10000,120455,267232
クイックソート,昇順,10,31,36
クイックソート,昇順,100,606,378
クイックソート,昇順,1000,9009,3066
クイックソート,昇順,10000,125439,35424
クイックソート,降順,10,40,48
クイックソート,降順,100,722,543
クイックソート,降順,1000,10480,5493
クイックソート,降順,10000,138326,54993
クイックソート,ランダム,10,43,47
クイックソート,ランダム,100,985,699
クイックソート,ランダム,1000,15830,9178
クイックソート,ランダム,10000,217275,114740
ヒープソート,昇順,10,70,90
ヒープソート,昇順,100,1380,1920
ヒープソート,昇順,1000,20416,29124
ヒープソート,昇順,10000,273912,395868
ヒープソート,降順,10,52,63
ヒープソート,降順,100,1132,1548
ヒープソート,降順,1000,17632,24948
ヒープソート,降順,10000,243392,350088
ヒープソート,ランダム,10,65,83
ヒープソート,ランダム,100,1245,1718
ヒープソート,ランダム,1000,19174,27261
ヒープソート,ランダム,10000,258324,372487
